comment
"This is all nonsense 

IPL tournament is not sportive play 
It is money minting system making people to fool to watch matches on TV mobile and on ground 

We being common people we should think for our own destiny"
"""सच्‍चे RCB और विराट कोहली फैन की पहचान क्या है? वो जो www.youtube.com/@Viratwithvlog18 को अभी सब्सक्राइब करता है"
Stupid people  not victory against Pakistan just local teams making politics on the blood of 11 innocent lives arrest kholi first 😢
15lakh compulsory central govt 2lakhs but no relationship with central govt humanity base...no cases...all are responsible for this incident...
Sahi hai aise chutiyo ki tarah waha khade rho ghar me roti banane ke liye ata nhi yaha rcb rcb karlo😂😂(mai cricket dekhta nhi faltu reply mat dena )
Jahil indians
"Wish there was this kind of madness for higher qualities like truth, for love, for peace and for humanity😢"
"Waste of time, waste of money, is game ko to banned 🚫 ker dena chahiye"
Karnataka govt tried to get the limelight of RCB win without any responsibility.
RCB barely won an IPL trophy so how can we expect you to plan an event properly . RCB should be banned
"Kardiye dikhava victory parade karke
Yaha dikhava ke karan rcb ko chah ke bhi support nahi karta"
"desh ke sipahi border par ladayi karke desh ke bachane ke liye mare gaye 
Ye chutiye parade me mare 
Kya jarurat parade me jane ka jab kisi player se nahi miloge 
Mare bc"
"Congress
Govt shd hv taken time and shd hv organised this celebration very well than do in hurry.. it clearly shows the attitude of congress towards ppl of blr.. they treat us like worms.. our lives do not matter to irresponsible congress leaders..
Their are abundance of IAS, IPS, Intelligence staff police, army, all that is their to organize such mega events .. Siddaramaiah & shivakumar r uneducated irresponsible unorganized arrogant ppl themselves & thus had organized such hapazard events calling for commotion loss of young lives like worms being stampede..
Also RCB cricketers need to take onus on humanitarian grounds & reciprocate love to RCB fans by way of monetary support.. in future the cricketers must also think of public safety in such mega events & double check with organizers reg. Safety measures to public...
#BANIPL&SAVEYOUTHOFBHARATH#"
Karanataka cm should resign😢
Ban RCB its new name should be JCB
It's shame that Virat is playing for RCB  since 18 years and dont soeak Kannada... I never seen any RCN player speak local language...
"Itni jali hui gaandein to Pakistan ko haraane k baad nhi dekhne ko milti jitni RCB k jeetne pr dikh rhi hain.... 
Loving it 🔥"
No no no u shld speak kannada......😂😂😂
Badly managed khangress event😂😂😂
Congress CM minister can't handle 😮😮😂😂😂
This is not RCB victory # History created 13 members were dead I called this # RCB tragedy 2025
Ess se achaa to punjab hi jit jati
18 years of emotions erupted like a volcano.
Mad country has mad people
This match wins lucky thats not greatest history in the world
"10 lakhs for the dead, annouced by the govt. Nothing to worry about. All good. All sorted ♥️. Vishvaguru India ♥️"
Kohli kohli🤡
Rcb rcb🤡
Barbaric
Very shameful planning by siddaramsiya government 😢
This is foolishness. .. Why celebrate such events ?? This is not  something like Sindhoor Operation successful.  Why did this Congress government promote such events ???
CM should resign and IPS officers should also resign from their jobs
